"mainImage","title","price","promotionPrice","discount","moq","companyName","reviewScore","reviewCount","deliveryEstimate","goldSupplierYears","productUrl"
"https://s.alicdn.com/@sc04/kf/H74d2e6a5f3f74b71a11b6d1e8d93d5dbK.jpg_300x300.jpg","Luxury <b>Robe</b> Long Bridal Morning <b>Robe</b> Spring Silk Long Style Ladies Formal Dress Wedding Bridesmaid","$7.50","",,"Min. order: 2 pieces","Zhong Shun Shi He (BeiJing) Textile Ltd","0.0","0","Delivery by Mar 20","1 yr","https://www.alibaba.com/product-detail/Luxury-Robe-Long-Bridal-Morning-Robe_1601696883454.html?s=p"
"https://s.alicdn.com/@sc04/kf/H8d1529747f7046c1ad604635fb7efff0p.png_300x300.png","100% Cotton Terry Cloth <b>Robe</b> Luxury Soft Embossed Jacquard Unisex Bathrobe Custom Warm Cotton <b>Robes</b>","$9.68-10.21","",,"Min. order: 500 pieces","Huaian Meisiyu Textiles Co., Ltd.","4.8","34",,"11 yrs","https://www.alibaba.com/product-detail/100-Cotton-Terry-Cloth-Robe-Luxury_1601277121040.html"
"https://s.alicdn.com/@sc04/kf/H65eade0ab747413fa8655e561ff324daQ.jpg_300x300.jpg","Bathrobe Customised Coral Fleece Pink Leopard Print Sleepwear Comfortable Warm Hooded Soft Cloth <b>Robes</b> With Logo","$10.21-12.57","",,"Min. order: 50 pieces","Huai'an Songmian Textile Co., Ltd.","4.8","67",,"3 yrs","https://www.alibaba.com/product-detail/Bathrobe-Customised-Coral-Fleece-Pink-Leopard_1601613422382.html?s=p"
"https://s.alicdn.com/@sc04/kf/H78876e1d7eec4ae89c72ad629412f998T.jpg_300x300.jpg","Customize Solid Color Winter Fashionable 3 Piece <b>Robe</b> Set Women Hooded Pajamas Breathable Sleepwear Winter Loungewear","$6.72","",,"Min. order: 200 sets","Guangzhou Autumn Chant Trading Co., Ltd.","4.7","42",,"3 yrs","https://www.alibaba.com/product-detail/Customize-Solid-Color-Winter-Fashionable-3_1601256669235.html"
"https://s.alicdn.com/@sc04/kf/Ae2df1cd18409419b8d00944be315d9e6d.jpg_300x300.jpg","Modal Maxi <b>Robe</b> Long Sleeve Sleep <b>Robe</b> For Women Clothes Sustainable Jersey Long <b>Robe</b> Custom Women's Kimono <b>Robe</b>","$7.90-12.80","",,"Min. order: 100 pieces","Taian Lianchuang Textile Co., Ltd.","4.8","16",,"18 yrs","https://www.alibaba.com/product-detail/Modal-Maxi-Robe-Long-Sleeve-Sleep_11000030949125.html?s=p"
"https://s.alicdn.com/@sc04/kf/Ada7cd08976ec4741ae37810d4952b5f5x.jpg_300x300.jpg","New Trendy Floral Print V-neck Three Quarter Sleeve Kimono Cotton <b>Robe</b> for Women Breathable Custom Length Knee Belted Design","$9.99-19.99","",,"Min. order: 10 pieces","ETHNIC TRADERS","5.0","1",,"5 yrs","https://www.alibaba.com/product-detail/New-Trendy-Floral-Print-V-neck_10000008738285.html"
"https://s.alicdn.com/@sc04/kf/H202250db19db4a3399322e678f7bc622L.jpg_300x300.jpg","Custom LOGO Waffle Bathrobe Quick Dry Bathroom <b>Robes</b> Wholesale Mans Cotton Woven Waffle Spa Bath <b>Robe</b>","$6.58-7.58","",,"Min. order: 100 pieces","Huai'an Yunzhi Import And Export Co., Ltd.","4.9","8",,"1 yr","https://www.alibaba.com/product-detail/Custom-LOGO-Waffle-Bathrobe-Quick-Dry_1601672384786.html?s=p"
"https://s.alicdn.com/@sc04/kf/Hee8a07373dd34e75a5fd225f907116ebk.png_300x300.png","Unisex Luxury 100% Cotton Terry V-Neck Long Sleeve Drawstring Closure Breathable Quick Dry Thermal Knee Length <b>Robe</b> Set for Home","$10.80-12","",,"Min. order: 100 pieces","Huaian Goodlife Textile Co., Ltd.","4.9","40",,"9 yrs","https://www.alibaba.com/product-detail/Unisex-Luxury-100-Cotton-Terry-V_1601157923209.html"
"https://s.alicdn.com/@sc04/kf/H85cc08f5c41c45e9a4dc2d235ab1a057L.jpg_300x300.jpg","White Waffle Bath <b>Robe</b> Luxury Long Cotton Waffle Bathrobe Spa <b>Robe</b> Lightweight Kimono Waffle <b>Robe</b>","$7.70","$6.93","10% off","Min. order: 50 pieces","Huaian Meisiyu Textiles Co., Ltd.","4.8","34","Delivery by May 23","11 yrs","https://www.alibaba.com/product-detail/White-Waffle-Bath-Robe-Luxury-Long_60434689981.html?s=p"
"https://s.alicdn.com/@sc04/kf/Hf2a3c40f1d6f4c3cb1973aa345bd1c08a.jpg_300x300.jpg","New Arrival Elegant and Luxury Women's Kimono <b>Robe</b> Half Sleeve Long Loose Floral Print Sleep Bathrobe","$12.48-12.88","",,"Min. order: 1,000 pieces","Wuhan Glory Trading Co., Ltd.","4.6","13",,"4 yrs","https://www.alibaba.com/product-detail/New-Arrival-Elegant-and-Luxury-Women_1601648100024.html"
